chord	numeral	form	figbass	changes	relativeroot	localkey	globalkey
I	I					I	C
IV	IV					I	C
iv7	iv		7			I	C
bVII7	bVII		7			I	C
I	I					I	C
V7/ii	V		7		ii	I	C
ii7	ii		7			I	C
V7	V		7			I	C
I	I					I	C
